date,time,home_team,score,away_team
2026-02-22,,Fatih Karagümrük,,Samsunspor
2026-02-22,,Beşiktaş,,Göztepe
2026-02-22,,Eyüpspor,,Gençlerbirliği
2026-02-22,,Rizespor,,Kocaelispor
2026-02-22,,Alanyaspor,,Başakşehir
2026-02-22,,Fenerbahçe,,Kasımpaşa
2026-02-22,,Kayserispor,,Antalyaspor
,,,,
2026-03-01,,Başakşehir,,Konyaspor
2026-03-01,,Galatasaray,,Alanyaspor
2026-03-01,,Trabzonspor,,Fatih Karagümrük
2026-03-01,,Samsunspor,,Gaziantep FK
2026-03-01,,Göztepe,,Eyüpspor
2026-03-01,,Gençlerbirliği,,Kayserispor
2026-03-01,,Antalyaspor,,Fenerbahçe
2026-03-01,,Kocaelispor,,Beşiktaş
2026-03-01,,Kasımpaşa,,Rizespor
,,,,
2026-03-08,,Alanyaspor,,Gençlerbirliği
2026-03-08,,Fenerbahçe,,Samsunspor
2026-03-08,,Konyaspor,,Kasımpaşa
2026-03-08,,Rizespor,,Antalyaspor
2026-03-08,,Eyüpspor,,Kocaelispor
2026-03-08,,Başakşehir,,Göztepe
2026-03-08,,Beşiktaş,,Galatasaray
2026-03-08,,Kayserispor,,Trabzonspor
2026-03-08,,Gaziantep FK,,Fatih Karagümrük
,,,,
2026-03-15,,Samsunspor,,Kayserispor
2026-03-15,,Fatih Karagümrük,,Fenerbahçe
2026-03-15,,Göztepe,,Alanyaspor
2026-03-15,,Kocaelispor,,Konyaspor
2026-03-15,,Antalyaspor,,Gaziantep FK
2026-03-15,,Galatasaray,,Başakşehir
2026-03-15,,Kasımpaşa,,Eyüpspor
2026-03-15,,Gençlerbirliği,,Beşiktaş
2026-03-15,,Trabzonspor,,Rizespor
,,,,
2026-03-22,,Beşiktaş,,Kasımpaşa
2026-03-22,,Göztepe,,Galatasaray
2026-03-22,,Fenerbahçe,,Gaziantep FK
2026-03-22,,Başakşehir,,Antalyaspor
2026-03-22,,Konyaspor,,Gençlerbirliği
2026-03-22,,Eyüpspor,,Trabzonspor
2026-03-22,,Kayserispor,,Fatih Karagümrük
2026-03-22,,Alanyaspor,,Kocaelispor
2026-03-22,,Rizespor,,Samsunspor
,,,,
2026-04-05,,Fatih Karagümrük,,Rizespor
2026-04-05,,Fenerbahçe,,Beşiktaş
2026-04-05,,Gençlerbirliği,,Göztepe
2026-04-05,,Kocaelispor,,Başakşehir
2026-04-05,,Samsunspor,,Konyaspor
2026-04-05,,Gaziantep FK,,Alanyaspor
2026-04-05,,Kasımpaşa,,Kayserispor
2026-04-05,,Antalyaspor,,Eyüpspor
2026-04-05,,Trabzonspor,,Galatasaray
,,,,
2026-04-12,,Göztepe,,Kasımpaşa
2026-04-12,,Konyaspor,,Fatih Karagümrük
2026-04-12,,Kayserispor,,Fenerbahçe
2026-04-12,,Rizespor,,Gaziantep FK
2026-04-12,,Alanyaspor,,Trabzonspor
2026-04-12,,Eyüpspor,,Samsunspor
2026-04-12,,Galatasaray,,Kocaelispor
2026-04-12,,Başakşehir,,Gençlerbirliği
2026-04-12,,Beşiktaş,,Antalyaspor
,,,,
2026-04-19,,Trabzonspor,,Başakşehir
2026-04-19,,Gaziantep FK,,Kayserispor
2026-04-19,,Kasımpaşa,,Alanyaspor
2026-04-19,,Kocaelispor,,Göztepe
2026-04-19,,Fenerbahçe,,Rizespor
2026-04-19,,Gençlerbirliği,,Galatasaray
2026-04-19,,Fatih Karagümrük,,Eyüpspor
2026-04-19,,Antalyaspor,,Konyaspor
2026-04-19,,Samsunspor,,Beşiktaş
,,,,
2026-04-26,,Alanyaspor,,Samsunspor
2026-04-26,,Galatasaray,,Fenerbahçe
2026-04-26,,Başakşehir,,Kasımpaşa
2026-04-26,,Kayserispor,,Rizespor
2026-04-26,,Eyüpspor,,Gaziantep FK
2026-04-26,,Gençlerbirliği,,Kocaelispor
2026-04-26,,Konyaspor,,Trabzonspor
2026-04-26,,Beşiktaş,,Fatih Karagümrük
2026-04-26,,Göztepe,,Antalyaspor
,,,,
2026-05-03,,Fenerbahçe,,Başakşehir
2026-05-03,,Rizespor,,Konyaspor
2026-05-03,,Antalyaspor,,Alanyaspor
2026-05-03,,Fatih Karagümrük,,Gençlerbirliği
2026-05-03,,Kasımpaşa,,Kocaelispor
2026-05-03,,Gaziantep FK,,Beşiktaş
2026-05-03,,Kayserispor,,Eyüpspor
2026-05-03,,Trabzonspor,,Göztepe
2026-05-03,,Samsunspor,,Galatasaray
,,,,
2026-05-10,,Eyüpspor,,Rizespor
2026-05-10,,Gençlerbirliği,,Kasımpaşa
2026-05-10,,Konyaspor,,Fenerbahçe
2026-05-10,,Başakşehir,,Samsunspor
2026-05-10,,Göztepe,,Gaziantep FK
2026-05-10,,Kocaelispor,,Fatih Karagümrük
2026-05-10,,Beşiktaş,,Trabzonspor
2026-05-10,,Galatasaray,,Antalyaspor
2026-05-10,,Alanyaspor,,Kayserispor
,,,,
2026-05-17,,Antalyaspor,,Kocaelispor
2026-05-17,,Trabzonspor,,Gençlerbirliği
2026-05-17,,Gaziantep FK,,Başakşehir
2026-05-17,,Kasımpaşa,,Galatasaray
2026-05-17,,Samsunspor,,Göztepe
2026-05-17,,Kayserispor,,Konyaspor
2026-05-17,,Fatih Karagümrük,,Alanyaspor
2026-05-17,,Fenerbahçe,,Eyüpspor
2026-05-17,,Rizespor,,Beşiktaş
